instancia, numero_vertices, numero_aresta, classe, algoritimo, parametro, interacao, tempo_execucao(ms), melhor_solucao,,,,,,
e01.stp-B.red,0,0, Grafo.h, leArquivo, ,1907, 74.936000, ,,,Tempo de execução (ms), Melhor Solução,Solução Literatura,Instância
e01.stp-B.red,0,0, Guloso, guloso, ,1, 3.518000,310,,Guloso,"3,518",310,?,e01.stp-B.red
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,0, 4.267000,313,,Guloso Randomizado,"5288,866",222,?,e01.stp-B.red
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,1, 6.596000,313,,Guloso R R,,,,e01.stp-B.red
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,2, 8.822000,310,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,3, 12.380000,310,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,4, 14.939000,310,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,5, 16.893000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,6, 20.108000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,7, 22.394000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,8, 26.067000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,9, 29.071000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,10, 33.175000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,11, 38.224000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,12, 41.563000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,13, 42.684000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,14, 44.487000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,15, 46.876000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,16, 50.349000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,17, 52.536000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,18, 54.000000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,19, 57.598000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,20, 60.159000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,21, 62.523000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,22, 63.759000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,23, 65.816000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,24, 68.197000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,25, 70.485000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,26, 72.334000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,27, 75.062000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,28, 79.670000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,29, 80.948000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,30, 83.833000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,31, 84.961000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,32, 86.477000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,33, 87.832000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,34, 92.765000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,35, 95.741000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,36, 96.989000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,37, 99.074000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,38, 101.161000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,39, 103.410000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,40, 106.773000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,41, 109.422000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,42, 113.077000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,43, 115.849000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,44, 118.270000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,45, 120.529000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,46, 123.004000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,47, 127.103000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,48, 129.182000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,49, 131.607000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,50, 133.790000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,51, 136.629000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,52, 138.997000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,53, 141.267000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,54, 143.930000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,55, 146.136000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,56, 149.213000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,57, 150.966000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,58, 152.518000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,59, 155.065000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,60, 158.186000,256,,,,,,
e01.stp-B.red,655,2500, Guloso, gulosoRandomizado, 0.250000,61, 160.373000,256,,,,,,
