instancia, numero_vertices, numero_aresta, classe, algoritimo, parametro, interacao, tempo_execucao(ms), melhor_solucao,,,,,,
e02.stp-A.red,120,0, Grafo.h, leArquivo, ,2000, 87.524000, ,,,Tempo de execução (ms), Melhor Solução,Solução Literatura,Instância
e02.stp-A.red,0,0, Guloso, guloso, ,1, 0.285000,60,,Guloso,"0,285",60,?,e02.stp-A.red
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,0, 0.429000,59,,Guloso Randomizado,"427,159",44,?,e02.stp-A.red
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,1, 0.685000,59,,Guloso R R,,,,e02.stp-A.red
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,2, 0.825000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,3, 0.891000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,4, 1.215000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,5, 1.347000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,6, 1.416000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,7, 1.628000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,8, 1.704000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,9, 1.898000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,10, 2.060000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,11, 2.557000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,12, 2.820000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,13, 3.206000,56,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,14, 3.439000,55,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,15, 3.516000,55,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,16, 3.596000,55,,,,,,
e02.stp-A.red,694,2608, Guloso, gulosoRandomizado, 0.250000,17, 3.754000,44,,,,,,
