instancia, numero_vertices, numero_aresta, classe, algoritimo, parametro, interacao, tempo_execucao(ms), melhor_solucao,,,,,,
e01.stp-A.red,1857557272,22052, Grafo.h, leArquivo, ,1899, 80.951000, ,,,Tempo de execução (ms), Melhor Solução,Solução Literatura,Instância
e01.stp-A.red,0,0, Guloso, guloso, ,1, 0.076000,24,,Guloso,"0,076",24,?,e01.stp-A.red
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,0, 0.118000,24,,Guloso Randomizado,"162,488",16,?,e01.stp-A.red 
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,1, 0.402000,22,,Guloso R R,,,,e01.stp-A.red 
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,2, 0.470000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,3, 0.551000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,4, 0.611000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,5, 0.643000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,6, 0.715000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,7, 0.889000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,8, 0.956000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,9, 1.043000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,10, 1.156000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,11, 1.263000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,12, 1.312000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,13, 1.359000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,14, 1.407000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,15, 1.481000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,16, 1.521000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,17, 1.581000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,18, 1.633000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,19, 1.878000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,20, 1.925000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,21, 1.998000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,22, 2.065000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,23, 2.260000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,24, 2.312000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,25, 2.377000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,26, 2.431000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,27, 2.487000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,28, 2.604000,22,,,,,,
e01.stp-A.red,651,2492, Guloso, gulosoRandomizado, 0.250000,29, 2.659000,22,,,,,,
